member_name,party,district,committee,total_bills,representative_count,co_sponsor_count,evaluation_score,evaluation_grade,average_quality_score,high_quality_bills,low_quality_bills,total_collaborations,cross_party_collaborations,same_party_collaborations,collaboration_strength
강경숙,조국혁신당,비례대표,교육위원회,20,20,0,91.55,A,6.5,0,20,20,0,20,217.99999999999991
강대식,미래통합당/국민의힘,대구 동구을/대구 동구군위군을,국방위원회,90,90,0,358.58,S+,15.166666666666666,0,90,90,0,90,715.0000000000002
강득구,더불어민주당/더불어민주당,경기 안양시만안구/경기 안양시만안구,"환경노동위원회, 기후위기 특별위원회",10,10,0,48.5,B,15.0,0,10,10,0,10,75.0
강명구,국민의힘,경북 구미시을,농림축산식품해양수산위원회,10,10,0,50.0,B,16.5,0,10,10,0,10,82.5
강민국,미래통합당/국민의힘,경남 진주시을/경남 진주시을,정무위원회,40,40,0,173.38,S,15.75,0,40,40,0,40,360.0
강선영,국민의미래,비례대표,"국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",10,10,0,49.6,B,15.0,0,10,10,0,10,86.0
강선우,더불어민주당/더불어민주당,서울 강서구갑/서울 강서구갑,"연금개혁 특별위원회, 외교통일위원회",20,20,0,89.5,A,10.0,0,20,20,10,10,210.0
강승규,한나라당/국민의힘,서울 마포구갑/충남 홍성군예산군,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",30,30,0,127.9,A+,16.0,0,30,30,0,30,224.00000000000003
강유정,더불어민주연합,비례대표,,100,100,0,393.15,S+,13.5,0,100,100,0,100,824.0000000000005
강준현,더불어민주당/더불어민주당,세종특별자치시을/세종특별자치시을,정무위원회,30,30,0,137.67,A+,18.333333333333332,0,30,30,10,20,330.0
강훈식,더불어민주당/더불어민주당/더불어민주당,충남 아산시을/충남 아산시을/충남 아산시을,,20,20,0,91.35,A,16.5,0,20,20,0,20,176.00000000000003
고동진,국민의힘,서울 강남구병,행정안전위원회,30,30,0,229.83,S+,7.666666666666667,0,30,30,30,0,1285.0
고민정,더불어민주당/더불어민주당,서울 광진구을/서울 광진구을,"교육위원회, 예산결산특별위원회",50,50,0,302.4,S+,12.4,0,50,50,30,20,1387.0000000000002
곽규택,국민의힘,부산 서구동구,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",70,70,0,286.78,S+,15.057142857142857,0,70,60,0,60,617.5000000000001
곽상언,더불어민주당,서울 종로구,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
구자근,미래통합당/국민의힘,경북 구미시갑/경북 구미시갑,산업통상자원중소벤처기업위원회,70,70,0,289.88,S+,15.857142857142858,0,70,70,0,70,604.5
권성동,한나라당/새누리당/새누리당/무소속/국민의힘,강원 강릉시/강원 강릉시/강원 강릉시/강원 강릉시/강원 강릉시,보건복지위원회,0,0,0,0.0,D,0,0,0,0,0,0,0
권영세,한나라당/한나라당/한나라당/미래통합당/국민의힘,서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 용산구/서울 용산구,"정보위원회, 기획재정위원회",130,130,0,500.75,S+,15.5,0,130,130,0,130,915.0
권영진,한나라당/국민의힘,서울 노원구을/대구 달서구병,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",20,20,0,91.5,A,15.0,0,20,20,0,20,185.0
권칠승,더불어민주당/더불어민주당/더불어민주당,경기 화성시병/경기 화성시병/경기 화성시병,행정안전위원회,50,50,0,200.8,S+,16.5,0,50,50,0,50,390.4999999999997
권향엽,더불어민주당,전남 순천시광양시곡성군구례군을,"산업통상자원중소벤처기업위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
김건,국민의미래,비례대표,외교통일위원회,0,0,0,0.0,D,0,0,0,0,0,0,0
김교흥,열린우리당/더불어민주당/더불어민주당,인천광역시 서구강화군갑/인천 서구갑/인천 서구갑,문화체육관광위원회,0,0,0,0.0,D,0,0,0,0,0,0,0
김기웅,국민의힘,대구 중구남구,"외교통일위원회, 예산결산특별위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
김기표,더불어민주당,경기 부천시을,법제사법위원회,0,0,0,0.0,D,0,0,0,0,0,0,0
김기현,한나라당/한나라당/새누리당/미래통합당/국민의힘,울산 남구을/울산 남구을/울산 남구을/울산 남구을/울산 남구을,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",20,20,0,89.62,A,15.25,0,20,20,0,20,165.0
김남근,더불어민주당,서울 성북구을,"정무위원회, 예산결산특별위원회, 국회운영위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
김남희,더불어민주당,경기 광명시을,"보건복지위원회, 여성가족위원회, 연금개혁 특별위원회",40,40,0,207.12,S+,16.25,0,40,40,30,10,715.0
김대식,국민의힘,부산 사상구,"교육위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 예산결산특별위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
김도읍,새누리당/새누리당/미래통합당/국민의힘,부산 북구강서구을/부산 북구강서구을/부산 북구강서구을/부산 강서구,국토교통위원회,30,30,0,128.5,A+,15.0,0,30,30,0,30,255.0
김동아,더불어민주당,서울 서대문구갑,산업통상자원중소벤처기업위원회,10,10,0,51.1,B,16.5,0,10,10,0,10,93.5
김문수,더불어민주당,전남 순천시광양시곡성군구례군갑,교육위원회,60,60,0,247.67,S+,13.333333333333334,0,60,60,0,60,555.0
김미애,미래통합당/국민의힘,부산 해운대구을/부산 해운대구을,"보건복지위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 연금개혁 특별위원회",30,30,0,236.37,S+,14.833333333333334,0,30,30,20,10,1314.5000000000002
김민석,새정치국민회의/새천년민주당/더불어민주당/더불어민주당,서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 영등포구을,국방위원회,10,10,0,49.5,B,15.0,0,10,10,0,10,85.0
김민전,국민의미래,비례대표,교육위원회,0,0,0,0.0,D,0,0,0,0,0,0,0
김병기,더불어민주당/더불어민주당/더불어민주당,서울 동작구갑/서울 동작구갑/서울 동작구갑,"정보위원회, 국회운영위원회, 국방위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
김병주,더불어시민당/더불어민주당,비례대표/경기 남양주시을,"국방위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
김상욱,국민의힘,울산 남구갑,"예산결산특별위원회, 외교통일위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
김상훈,새누리당/새누리당/미래통합당/국민의힘,대구 서구/대구 서구/대구 서구/대구 서구,정무위원회,30,30,0,269.33,S+,11.666666666666666,0,30,30,30,0,1680.0
김석기,새누리당/미래통합당/국민의힘,경북 경주시/경북 경주시/경북 경주시,외교통일위원회,30,30,0,126.9,A+,15.0,0,30,30,0,30,233.99999999999991
김선교,미래통합당/국민의힘,경기 여주시양평군/경기 여주시양평군,농림축산식품해양수산위원회,150,150,0,579.7,S+,15.806666666666667,0,150,150,0,150,1103.0000000000007
김선민,조국혁신당,비례대표,보건복지위원회,60,60,0,249.78,S+,16.166666666666668,0,60,60,0,60,581.9999999999998
김성원,새누리당/미래통합당/국민의힘,경기 동두천시연천군/경기 동두천시연천군/경기 동두천시양주시연천구을,산업통상자원중소벤처기업위원회,100,100,0,396.25,S+,12.3,0,100,100,0,100,740.9999999999999
김성환,더불어민주당/더불어민주당/더불어민주당,서울 노원구병/서울 노원구병/서울 노원구을,산업통상자원중소벤처기업위원회,20,20,0,149.0,A+,15.0,0,20,20,20,0,760.0
김성회,더불어민주당,경기 고양시갑,"행정안전위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 예산결산특별위원회, 기후위기 특별위원회",10,10,0,46.5,B,10.0,0,10,10,0,10,80.0
김소희,국민의미래,비례대표,"환경노동위원회, 기후위기 특별위원회",10,10,0,46.25,B,5.0,0,10,10,0,10,102.5
김승수,미래통합당/국민의힘,대구 북구을/대구 북구을,문화체육관광위원회,160,160,0,619.88,S+,14.25,0,160,160,0,160,1227.5
김승원,더불어민주당/더불어민주당,경기 수원시갑/경기 수원시갑,"정무위원회, 예산결산특별위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
김영배,더불어민주당/더불어민주당,서울 성북구갑/서울 성북구갑,"외교통일위원회, 국회운영위원회",80,80,0,358.81,S+,15.625,0,80,80,40,40,1010.0
김영진,더불어민주당/더불어민주당/더불어민주당,경기 수원시병/경기 수원시병/경기 수원시병,"기획재정위원회, 정보위원회",60,60,0,236.42,S+,15.833333333333334,0,60,60,0,60,430.0
김영호,더불어민주당/더불어민주당/더불어민주당,서울 서대문구을/서울 서대문구을/서울 서대문구을,교육위원회,40,30,10,146.25,A+,9.5,0,40,30,10,20,260.0
김영환,더불어민주당,경기 고양시정,기획재정위원회,0,0,0,0.0,D,0,0,0,0,0,0,0
김예지,미래한국당/국민의미래,비례대표/비례대표,보건복지위원회,60,60,0,249.07,S+,16.083333333333332,0,60,60,0,60,515.2500000000002
김용만,더불어민주당,경기 하남시을,"정무위원회, 예산결산특별위원회",70,70,0,321.54,S+,17.27142857142858,0,70,70,30,40,954.0
김용민,더불어민주당/더불어민주당,경기 남양주시병/경기 남양주시병,법제사법위원회,40,40,0,160.64,S,13.375,0,40,30,0,30,284.5
김용태,국민의힘,경기 포천시가평군,"교육위원회, 기후위기 특별위원회, 연금개혁 특별위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
김우영,더불어민주당,서울 은평구을,과학기술정보방송통신위원회,0,0,0,0.0,D,0,0,0,0,0,0,0
김원이,더불어민주당/더불어민주당,전남 목포시/전남 목포시,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회",40,40,0,172.5,S,10.0,0,40,40,10,30,400.0
김위상,국민의미래,비례대표,"환경노동위원회, 예산결산특별위원회",40,40,0,163.85,S,18.5,0,40,40,0,40,311.0
김윤,더불어민주연합,비례대표,"보건복지위원회, 예산결산특별위원회",60,60,0,194.67,S,14.333333333333334,0,60,0,0,0,0
김윤덕,민주통합당/더불어민주당/더불어민주당,전북 전주시완산구갑/전북 전주시갑/전북 전주시갑,문화체육관광위원회,60,60,0,241.67,S+,14.333333333333334,0,60,60,0,60,470.0
김은혜,미래통합당/국민의힘,경기 성남시분당구갑/경기 성남시분당구을,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",20,20,0,83.65,A,5.5,0,20,20,0,20,154.00000000000003
김장겸,국민의미래,비례대표,과학기술정보방송통신위원회,30,30,0,131.58,A+,16.166666666666668,0,30,30,0,30,280.00000000000006
김재섭,국민의힘,서울 도봉구갑,"정무위원회, 연금개혁 특별위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
김재원,조국혁신당,비례대표,"문화체육관광위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
김정재,새누리당/미래통합당/국민의힘,경북 포항시북구/경북 포항시북구/경북 포항시북구,국토교통위원회,70,70,0,476.83,S+,16.857142857142858,0,70,70,40,30,2464.0000000000005
김정호,더불어민주당/더불어민주당/더불어민주당,경남 김해시을/경남 김해시을/경남 김해시을,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회, 산불피해지원대책 특별위원회",70,70,0,286.96,S+,13.428571428571429,0,70,70,0,70,567.5
김종민,더불어민주당/더불어민주당/새로운미래,충남 논산시계룡시금산군/충남 논산시계룡시금산군/세종특별자치시갑,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
김종양,국민의힘,경남 창원시의창구,"국토교통위원회, 예산결산특별위원회",40,40,0,165.88,S,16.75,0,40,40,0,40,300.0
김주영,더불어민주당/더불어민주당,경기 김포시갑/경기 김포시갑,환경노동위원회,50,50,0,212.0,S+,13.0,0,50,50,10,40,515.0
김준혁,더불어민주당,경기 수원시정,"교육위원회, 국회운영위원회",10,10,0,54.0,B,20.0,0,10,10,0,10,105.0
김준형,조국혁신당,비례대표,외교통일위원회,30,20,10,100.45,A+,5.5,0,30,20,0,20,181.99999999999997
김태년,열린우리당/민주통합당/더불어민주당/더불어민주당/더불어민주당,경기도 성남시수정구/경기 성남시수정구/경기 성남시수정구/경기 성남시수정구/경기 성남시수정구,기획재정위원회,0,0,0,0.0,D,0,0,0,0,0,0,0
김태선,더불어민주당,울산 동구,"환경노동위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",10,10,0,50.5,B,15.0,0,10,10,0,10,95.0
김태호,한나라당/새누리당/무소속/국민의힘,경남 김해시을/경남 김해시을/경남 산청군함양군거창군합천군/경남 양산시을,외교통일위원회,30,30,0,129.88,A+,17.166666666666668,0,30,30,0,30,238.00000000000006
김한규,더불어민주당/더불어민주당,제주 제주시을/제주 제주시을,"산업통상자원중소벤처기업위원회, 여성가족위원회, 예산결산특별위원회",110,110,0,456.83,S+,15.454545454545455,0,110,110,10,100,1071.0000000000002
김현,민주통합당/더불어민주당,비례대표/경기 안산시을,과학기술정보방송통신위원회,40,40,0,146.79,A+,14.575,0,40,10,10,0,120.0
김현정,더불어민주당,경기 평택시병,정무위원회,30,30,0,135.02,A+,14.333333333333334,0,30,30,10,20,323.4999999999999
김형동,미래통합당/국민의힘,경북 안동시예천군/경북 안동시예천군,"환경노동위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회",0,0,0,0.0,D,0,0,0,0,0,0,0
김희정,한나라당/새누리당/국민의힘,부산광역시 연제구/부산 연제구/부산 연제구,국토교통위원회,100,100,0,441.8,S+,16.5,0,100,100,70,30,1260.4999999999998
나경원,한나라당/한나라당/새누리당/새누리당/국민의힘,비례대표/서울 중구/서울 동작구을/서울 동작구을/서울 동작구을,법제사법위원회,10,10,0,52.0,B,15.0,0,10,10,0,10,110.0
남인순,민주통합당/더불어민주당/더불어민주당/더불어민주당,비례대표/서울 송파구병/서울 송파구병/서울 송파구병,"보건복지위원회, 연금개혁 특별위원회",60,60,0,240.92,S+,15.833333333333334,0,60,60,0,60,455.0
노종면,더불어민주당,인천 부평구갑,"과학기술정보방송통신위원회, 예산결산특별위원회",10,10,0,50.5,B,15.0,0,10,10,0,10,95.0
맹성규,더불어민주당/더불어민주당/더불어민주당,인천 남동구갑/인천 남동구갑/인천 남동구갑,국토교통위원회,10,10,0,37.0,C+,7.0,0,10,0,0,0,0
모경종,더불어민주당,인천 서구병,"행정안전위원회, 연금개혁 특별위원회",40,40,0,165.62,S,16.25,0,40,40,0,40,320.0
문금주,더불어민주당,전남 고흥군보성군장흥군강진군,"농림축산식품해양수산위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",100,100,0,367.05,S+,12.1,0,100,40,20,20,490.0
문대림,더불어민주당,제주 제주시갑,농림축산식품해양수산위원회,30,30,0,129.25,A+,10.5,0,30,30,0,30,305.0
문정복,더불어민주당/더불어민주당,경기 시흥시갑/경기 시흥시갑,교육위원회,20,20,0,88.5,A,15.0,0,20,20,0,20,155.0
문진석,더불어민주당/더불어민주당,충남 천안시갑/충남 천안시갑,"국토교통위원회, 국회운영위원회",30,30,0,130.05,A+,16.5,0,30,30,0,30,242.99999999999991
