proposer,party,committee,district,total_collaborations,avg_collaboration_score
김석기,국민의힘,외교통일위원회,경북 경주시/경북 경주시/경북 경주시,152,95.79605263157895
김성원,국민의힘,산업통상자원중소벤처기업위원회,경기 동두천시연천군/경기 동두천시연천군/경기 동두천시양주시연천구을,152,200.3815789473684
김정재,국민의힘,국토교통위원회,경북 포항시북구/경북 포항시북구/경북 포항시북구,152,365.26973684210526
강유정,더불어민주연합,Unknown,비례대표,152,132.97368421052633
김영배,더불어민주당,"외교통일위원회, 국회운영위원회",서울 성북구갑/서울 성북구갑,152,225.77631578947367
문금주,더불어민주당,"농림축산식품해양수산위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",전남 고흥군보성군장흥군강진군,152,134.97368421052633
김한규,더불어민주당,"산업통상자원중소벤처기업위원회, 여성가족위원회, 예산결산특별위원회",제주 제주시을/제주 제주시을,152,234.09868421052633
나경원,국민의힘,법제사법위원회,비례대표/서울 중구/서울 동작구을/서울 동작구을/서울 동작구을,152,81.59210526315789
김승수,국민의힘,문화체육관광위원회,대구 북구을/대구 북구을,152,312.2894736842105
김주영,더불어민주당,환경노동위원회,경기 김포시갑/경기 김포시갑,152,174.47368421052633
권영세,국민의힘,"정보위원회, 기획재정위원회",서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 용산구/서울 용산구,152,226.91447368421052
김선민,조국혁신당,보건복지위원회,비례대표,152,138.63815789473685
김성회,더불어민주당,"행정안전위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 예산결산특별위원회, 기후위기 특별위원회",경기 고양시갑,152,77.59868421052632
김윤덕,더불어민주당,문화체육관광위원회,전북 전주시완산구갑/전북 전주시갑/전북 전주시갑,152,160.83552631578948
강경숙,조국혁신당,교육위원회,비례대표,152,78.05263157894737
김성환,더불어민주당,산업통상자원중소벤처기업위원회,서울 노원구병/서울 노원구병/서울 노원구을,152,166.46052631578948
모경종,더불어민주당,"행정안전위원회, 연금개혁 특별위원회",인천 서구병,152,122.92105263157895
권칠승,더불어민주당,행정안전위원회,경기 화성시병/경기 화성시병/경기 화성시병,152,135.8421052631579
강민국,국민의힘,정무위원회,경남 진주시을/경남 진주시을,152,117.94736842105263
김은혜,국민의힘,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",경기 성남시분당구갑/경기 성남시분당구을,152,88.36842105263158
강준현,더불어민주당,정무위원회,세종특별자치시을/세종특별자치시을,152,118.61184210526316
김기현,국민의힘,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",울산 남구을/울산 남구을/울산 남구을/울산 남구을/울산 남구을,152,91.23026315789474
김예지,국민의미래,보건복지위원회,비례대표/비례대표,152,119.1907894736842
김희정,국민의힘,국토교통위원회,부산광역시 연제구/부산 연제구/부산 연제구,152,250.19078947368422
강승규,국민의힘,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",서울 마포구갑/충남 홍성군예산군,152,100.97368421052632
김현정,더불어민주당,정무위원회,경기 평택시병,152,125.75657894736842
김태호,국민의힘,외교통일위원회,경남 김해시을/경남 김해시을/경남 산청군함양군거창군합천군/경남 양산시을,152,96.88815789473684
구자근,국민의힘,산업통상자원중소벤처기업위원회,경북 구미시갑/경북 구미시갑,152,164.07894736842104
김현,더불어민주당,과학기술정보방송통신위원회,비례대표/경기 안산시을,152,87.21052631578948
남인순,더불어민주당,"보건복지위원회, 연금개혁 특별위원회",비례대표/서울 송파구병/서울 송파구병/서울 송파구병,152,150.41447368421052
김정호,더불어민주당,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회, 산불피해지원대책 특별위원회",경남 김해시을/경남 김해시을/경남 김해시을,152,155.82236842105263
강대식,국민의힘,국방위원회,대구 동구을/대구 동구군위군을,152,200.2434210526316
김선교,국민의힘,농림축산식품해양수산위원회,경기 여주시양평군/경기 여주시양평군,152,281.5263157894737
김용민,더불어민주당,법제사법위원회,경기 남양주시병/경기 남양주시병,152,120.57894736842105
고민정,더불어민주당,"교육위원회, 예산결산특별위원회",서울 광진구을/서울 광진구을,152,250.65131578947367
김태선,더불어민주당,"환경노동위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",울산 동구,152,79.26315789473684
김준형,조국혁신당,외교통일위원회,비례대표,152,78.9407894736842
김원이,더불어민주당,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회",전남 목포시/전남 목포시,152,124.9342105263158
김용만,더불어민주당,"정무위원회, 예산결산특별위원회",경기 하남시을,152,208.625
김장겸,국민의미래,과학기술정보방송통신위원회,비례대표,152,86.6842105263158
김남희,더불어민주당,"보건복지위원회, 여성가족위원회, 연금개혁 특별위원회",경기 광명시을,152,168.0328947368421
김위상,국민의미래,"환경노동위원회, 예산결산특별위원회",비례대표,152,86.15131578947368
김도읍,국민의힘,국토교통위원회,부산 북구강서구을/부산 북구강서구을/부산 북구강서구을/부산 강서구,152,106.91447368421052
김종양,국민의힘,"국토교통위원회, 예산결산특별위원회",경남 창원시의창구,152,108.14473684210526
김동아,더불어민주당,산업통상자원중소벤처기업위원회,서울 서대문구갑,152,78.92105263157895
김민석,더불어민주당,국방위원회,서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 영등포구을,152,78.51315789473684
문대림,더불어민주당,농림축산식품해양수산위원회,제주 제주시갑,152,122.6907894736842
김영진,더불어민주당,"기획재정위원회, 정보위원회",경기 수원시병/경기 수원시병/경기 수원시병,152,147.39473684210526
김영호,더불어민주당,교육위원회,서울 서대문구을/서울 서대문구을/서울 서대문구을,152,115.14473684210526
곽규택,국민의힘,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",부산 서구동구,152,155.75
김문수,더불어민주당,교육위원회,전남 순천시광양시곡성군구례군갑,152,157.05263157894737
강선우,더불어민주당,"연금개혁 특별위원회, 외교통일위원회",서울 강서구갑/서울 강서구갑,152,98.55263157894737
강선영,국민의미래,"국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",비례대표,152,58.91447368421053
고동진,국민의힘,행정안전위원회,서울 강남구병,152,226.66447368421052
김상훈,국민의힘,정무위원회,대구 서구/대구 서구/대구 서구/대구 서구,152,270.8486842105263
문정복,더불어민주당,교육위원회,경기 시흥시갑/경기 시흥시갑,152,97.15789473684211
문진석,더불어민주당,"국토교통위원회, 국회운영위원회",충남 천안시갑/충남 천안시갑,152,99.03947368421052
노종면,더불어민주당,"과학기술정보방송통신위원회, 예산결산특별위원회",인천 부평구갑,152,79.3157894736842
강훈식,더불어민주당,Unknown,충남 아산시을/충남 아산시을/충남 아산시을,152,83.82894736842105
김소희,국민의미래,"환경노동위원회, 기후위기 특별위원회",비례대표,152,60.63157894736842
강명구,국민의힘,농림축산식품해양수산위원회,경북 구미시을,152,72.6907894736842
김미애,국민의힘,"보건복지위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 연금개혁 특별위원회",부산 해운대구을/부산 해운대구을,152,213.67763157894737
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",경기 안양시만안구/경기 안양시만안구,152,76.97368421052632
김준혁,더불어민주당,"교육위원회, 국회운영위원회",경기 수원시정,152,80.35526315789474
권영진,국민의힘,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",서울 노원구을/대구 달서구병,152,93.51973684210526
